(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-1347-MONOMER	transposase	G1G01-1347	CCI-CYTOSOL-GN
G1G01-5762-MONOMER	hypothetical protein	G1G01-5762	
G1G01-987-MONOMER	hypothetical protein	G1G01-987	CCI-OUTER-MEM-GN
G1G01-2401-MONOMER	C4-dicarboxylate transport protein	G1G01-2401	CCI-PM-BAC-NEG-GN
G1G01-4455-MONOMER	2-oxoglutarate dehydrogenase dihydrolipoyltranssuccinylase subunit	G1G01-4455	CCI-CYTOSOL-GN
G1G01-2746-MONOMER	antibiotic biosynthesis protein	G1G01-2746	CCI-PM-BAC-NEG-GN
G1G01-1147-MONOMER	DNA-binding transcriptional repressor GlpR	G1G01-1147	CCI-CYTOSOL-GN
G1G01-4803-MONOMER	TrpH family protein	G1G01-4803	
G1G01-1494-MONOMER	hypothetical protein	G1G01-1494	CCI-PM-BAC-NEG-GN
G1G01-3082-MONOMER	peptidyl-prolyl cis-trans isomerase B	G1G01-3082	CCI-CYTOSOL-GN
G1G01-5156-MONOMER	hypothetical protein	G1G01-5156	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-342-MONOMER	hypothetical protein	G1G01-342	CCI-CYTOSOL-GN
G1G01-1840-MONOMER	membrane protein	G1G01-1840	CCI-PM-BAC-NEG-GN
G1G01-5495-MONOMER	ribose-5-phosphate isomerase A	G1G01-5495	
G1G01-3301-MONOMER	hypothetical protein	G1G01-3301	
G1G01-2034-MONOMER	hypothetical protein	G1G01-2034	CCO-MEMBRANE
G1G01-627-MONOMER	hypothetical protein	G1G01-627	CCI-OUTER-MEM-GN
G1G01-4094-MONOMER	hypothetical protein	G1G01-4094	CCI-PM-BAC-NEG-GN
G1G01-972-MONOMER	class 1 fumarate hydratase	G1G01-972	CCI-CYTOSOL-GN
G1G01-2388-MONOMER	ferric enterobactin transport system outer membrane subunit	G1G01-2388	CCI-OUTER-MEM-GN
G1G01-444-MONOMER	DnaJ-like protein DjlA	G1G01-444	CCI-PM-BAC-NEG-GN
G1G01-2609-MONOMER	DUF480 domain-containing protein	G1G01-2609	CCI-CYTOSOL-GN
G1G01-1132-MONOMER	amino acid permease YtnA	G1G01-1132	CCI-PM-BAC-NEG-GN
G1G01-4787-MONOMER	lysine/arginine/ornithine ABC transporter substrate-binding protein	G1G01-4787	CCI-PERI-BAC-GN
G1G01-148-MONOMER	ABC transporter ATP-binding protein	G1G01-148	CCI-PM-BAC-NEG-GN
G1G01-3068-MONOMER	RNA polymerase ECF-11 &sigma; factor	G1G01-3068	CCI-PM-BAC-NEG-GN
G1G01-5141-MONOMER	RlpA-like lipoprotein	G1G01-5141	
G1G01-3404-MONOMER	Mn(II) copper oxidase A	G1G01-3404	
G1G01-5731-MONOMER	LysR family transcriptional regulator	G1G01-5731	CCI-CYTOSOL-GN
G1G01-1826-MONOMER	hypothetical protein	G1G01-1826	CCI-CYTOSOL-GN
G1G01-5480-MONOMER	ABC transporter substrate-binding protein	G1G01-5480	
G1G01-2019-MONOMER	haloacid dehalogenase-like family hydrolase	G1G01-2019	CCI-CYTOSOL-GN
G1G01-612-MONOMER	methyl-accepting chemotaxis protein CtpL	G1G01-612	CCO-MEMBRANE
G1G01-2369-MONOMER	K(+)/H(+) antiporter subunit C	G1G01-2369	CCI-PM-BAC-NEG-GN
G1G01-4425-MONOMER	potassium-transporting ATPase subunit C	G1G01-4425	CCI-PM-BAC-NEG-GN
G1G01-2717-MONOMER	transport protein	G1G01-2717	CCI-PM-BAC-NEG-GN
G1G01-1118-MONOMER	type II secretion pathway protein XcpP	G1G01-1118	
G1G01-477-MONOMER	type III pantothenate kinase	G1G01-477	CCI-CYTOSOL-GN
G1G01-1465-MONOMER	pca regulon transcriptional regulator	G1G01-1465	CCI-CYTOSOL-GN
G1G01-3053-MONOMER	hypothetical protein	G1G01-3053	
G1G01-5127-MONOMER	apolipoprotein N-acyltransferase	G1G01-5127	CCI-PM-BAC-NEG-GN
G1G01-3390-MONOMER	LysR family transcriptional regulator	G1G01-3390	
G1G01-1811-MONOMER	phthalate permease family MFS transporter	G1G01-1811	CCI-PM-BAC-NEG-GN
G1G01-9-MONOMER	50S ribosomal protein L34	G1G01-9	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-1990-MONOMER	hypothetical protein	G1G01-1990	
G1G01-1910-MONOMER	2-dehydro-3-deoxyphosphooctonate aldolase	G1G01-1910	CCI-CYTOSOL-GN
G1G01-2003-MONOMER	medium-long chain acyl-CoA dehydrogenase	G1G01-2003	CCI-PM-BAC-NEG-GN
G1G01-599-MONOMER	lipoprotein	G1G01-599	
G1G01-4065-MONOMER	thioesterase	G1G01-4065	CCI-CYTOSOL-GN
G1G01-1940-MONOMER	hypothetical protein	G1G01-1940	
G1G01-2354-MONOMER	acyl-CoA synthetase	G1G01-2354	CCI-CYTOSOL-GN
G1G01-2656-MONOMER	hypothetical protein	G1G01-2656	CCI-CYTOSOL-GN
G1G01-5405-MONOMER	choline transporter	G1G01-5405	CCI-PM-BAC-NEG-GN
G1G01-1103-MONOMER	hypothetical protein	G1G01-1103	
G1G01-4751-MONOMER	4-hydroxy-4-methyl-2-oxoglutarate aldolase	G1G01-4751	CCI-CYTOSOL-GN
G1G01-1450-MONOMER	chaperonin GroEL	G1G01-1450	CCI-CYTOSOL-GN
G1G01-3038-MONOMER	hypothetical protein	G1G01-3038	
G1G01-5111-MONOMER	hypothetical protein	G1G01-5111	
G1G01-3376-MONOMER	inositol monophosphatase family protein	G1G01-3376	CCI-CYTOSOL-GN
G1G01-560-MONOMER	methyltransferase	G1G01-560	
G1G01-1793-MONOMER	membrane protein	G1G01-1793	CCI-PM-BAC-NEG-GN
G1G01-563-MONOMER	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase	G1G01-563	CCI-CYTOSOL-GN
G1G01-545-MONOMER	sodium/alanine symporter	G1G01-545	CCI-PM-BAC-NEG-GN
G1G01-5435-MONOMER	membrane protein	G1G01-5435	CCI-PM-BAC-NEG-GN
G1G01-3023-MONOMER	urease subunit gamma	G1G01-3023	CCI-CYTOSOL-GN
G1G01-584-MONOMER	transcriptional regulator PfeR	G1G01-584	CCI-CYTOSOL-GN
G1G01-4048-MONOMER	hypothetical protein	G1G01-4048	
G1G01-929-MONOMER	histidine--tRNA ligase	G1G01-929	CCI-CYTOSOL-GN
G1G01-2339-MONOMER	aldose sugar dehydrogenase	G1G01-2339	
G1G01-4397-MONOMER	NADH-quinone oxidoreductase subunit M	G1G01-4397	CCI-PM-BAC-NEG-GN
G1G01-2685-MONOMER	short-chain dehydrogenase/reductase family oxidoreductase	G1G01-2685	
G1G01-109-MONOMER	cytochrome c oxidase assembly protein	G1G01-109	CCI-PM-BAC-NEG-GN
G1G01-706-MONOMER	hypothetical protein	G1G01-706	CCI-PM-BAC-NEG-GN
G1G01-4735-MONOMER	hypothetical protein	G1G01-4735	
G1G01-1435-MONOMER	glutathione S-transferase family protein	G1G01-1435	CCI-CYTOSOL-GN
G1G01-5098-MONOMER	hypothetical protein	G1G01-5098	CCO-MEMBRANE
G1G01-3361-MONOMER	sugar transferase	G1G01-3361	CCI-PM-BAC-NEG-GN
G1G01-1779-MONOMER	adenosylcobinamide-GDP ribazoletransferase	G1G01-1779	CCI-PM-BAC-NEG-GN
G1G01-3332-MONOMER	transcriptional repressor LexA	G1G01-3332	CCI-CYTOSOL-GN
G1G01-37-MONOMER	bactoprenol-linked glycose transferase	G1G01-37	CCI-PM-BAC-NEG-GN
G1G01-1971-MONOMER	hypothetical protein	G1G01-1971	CCI-CYTOSOL-GN
G1G01-5777-MONOMER	bifunctional N-acetyl glucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyl transferase	G1G01-5777	CCI-CYTOSOL-GN
G1G01-4033-MONOMER	LysR family transcriptional regulator	G1G01-4033	CCI-CYTOSOL-GN
G1G01-914-MONOMER	tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ	G1G01-914	CCI-CYTOSOL-GN
G1G01-2323-MONOMER	hypothetical protein	G1G01-2323	CCI-CYTOSOL-GN
G1G01-4382-MONOMER	hypothetical protein	G1G01-4382	CCI-OUTER-MEM-GN
G1G01-2670-MONOMER	hypothetical protein	G1G01-2670	
G1G01-1075-MONOMER	arginine/ornithine antiporter	G1G01-1075	CCI-PM-BAC-NEG-GN
G1G01-472-MONOMER	tyrosine--tRNA ligase	G1G01-472	CCI-CYTOSOL-GN
G1G01-142-MONOMER	UPF0391 membrane protein PP_0135	G1G01-142	CCI-PM-BAC-NEG-GN
G1G01-3008-MONOMER	hypothetical protein	G1G01-3008	CCI-PM-BAC-NEG-GN
G1G01-5083-MONOMER	amino acid ABC transporter permease	G1G01-5083	CCI-PM-BAC-NEG-GN
G1G01-2625-MONOMER	ribose ABC transporter - ATP-binding subunit	G1G01-2625	CCI-PM-BAC-NEG-GN
G1G01-3347-MONOMER	UDP-glucose 4-epimerase	G1G01-3347	CCI-CYTOSOL-GN
G1G01-1763-MONOMER	phosphoribosylformylglycinamidine cyclo-ligase	G1G01-1763	CCI-CYTOSOL-GN
G1G01-542-MONOMER	selenocysteyl-tRNA-specific translation elongation factor	G1G01-542	CCI-CYTOSOL-GN
G1G01-3685-MONOMER	hypothetical protein	G1G01-3685	
G1G01-1956-MONOMER	LysR family transcriptional regulator	G1G01-1956	
G1G01-285-MONOMER	C4-dicarboxylate transport transcriptional regulator	G1G01-285	CCI-CYTOSOL-GN
G1G01-4019-MONOMER	lactoylglutathione lyase	G1G01-4019	CCI-CYTOSOL-GN
G1G01-2308-MONOMER	PhoD-like phosphatase	G1G01-2308	CCI-CYTOSOL-GN
G1G01-4368-MONOMER	acetyltransferase	G1G01-4368	CCI-CYTOSOL-GN
G1G01-1060-MONOMER	L-serine dehydratase	G1G01-1060	CCI-CYTOSOL-GN
G1G01-4704-MONOMER	hypothetical protein	G1G01-4704	CCI-CYTOSOL-GN
G1G01-1404-MONOMER	ubiquinol-cytochrome c reductase iron-sulfur subunit	G1G01-1404	CCI-PM-BAC-NEG-GN
G1G01-2995-MONOMER	hypothetical protein	G1G01-2995	CCI-CYTOSOL-GN
G1G01-5066-MONOMER	hypothetical protein	G1G01-5066	
G1G01-1749-MONOMER	two-component system response regulator	G1G01-1749	CCI-CYTOSOL-GN
G1G01-367-MONOMER	transposase	G1G01-367	CCI-CYTOSOL-GN
G1G01-5001-MONOMER	transglycosylase/transpeptidase	G1G01-5001	CCI-CW-BAC-NEG-GN // CCI-PM-BAC-NEG-GN
G1G01-5746-MONOMER	copper efflux protein	G1G01-5746	CCI-PERI-BAC-GN
G1G01-4003-MONOMER	GntR family transcriptional regulator	G1G01-4003	CCI-CYTOSOL-GN
G1G01-4690-MONOMER	hypothetical protein	G1G01-4690	
G1G01-885-MONOMER	cytochrome bo terminal oxidase subunit II	G1G01-885	CCI-PM-BAC-NEG-GN
G1G01-2294-MONOMER	hypothetical protein	G1G01-2294	CCI-CYTOSOL-GN
G1G01-4347-MONOMER	hemolysin-coregulated protein	G1G01-4347	CCI-EXTRACELLULAR-GN
G1G01-2640-MONOMER	phenylalanine--tRNA ligase subunit alpha	G1G01-2640	CCI-CYTOSOL-GN
G1G01-1044-MONOMER	cyanate MFS transporter	G1G01-1044	CCI-PM-BAC-NEG-GN
G1G01-4600-MONOMER	holocytochrome c synthetase	G1G01-4600	CCI-PM-BAC-NEG-GN
G1G01-4660-MONOMER	peptidoglycan hydrolase FlgJ	G1G01-4660	CCI-PERI-BAC-GN
G1G01-1390-MONOMER	sulfate adenylyltransferase subunit 2	G1G01-1390	CCI-CYTOSOL-GN
G1G01-2980-MONOMER	diaminobutyrate-2-oxoglutarate transaminase	G1G01-2980	CCI-CYTOSOL-GN
G1G01-505-MONOMER	50S ribosomal protein L22	G1G01-505	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-3316-MONOMER	hypothetical protein	G1G01-3316	
G1G01-1733-MONOMER	two-component system response regulator	G1G01-1733	CCI-CYTOSOL-GN
G1G01-5391-MONOMER	glutamine synthetase	G1G01-5391	CCI-CYTOSOL-GN
G1G01-3655-MONOMER	lytic transglycosylase	G1G01-3655	CCI-PERI-BAC-GN // CCO-MEMBRANE
G1G01-1926-MONOMER	glutathione S-transferase family protein	G1G01-1926	CCI-CYTOSOL-GN
G1G01-1564-MONOMER	two-component system response regulator	G1G01-1564	
G1G01-3990-MONOMER	vanillate monooxygenase subunit	G1G01-3990	CCI-CYTOSOL-GN
G1G01-870-MONOMER	hypothetical protein	G1G01-870	
G1G01-228-MONOMER	nitrate ABC transporter permease	G1G01-228	CCI-PM-BAC-NEG-GN
G1G01-4330-MONOMER	methylglutaconyl-CoA hydratase	G1G01-4330	CCI-CYTOSOL-GN
G1G01-4316-MONOMER	malto-oligosyltrehalose trehalohydrolase	G1G01-4316	CCI-CYTOSOL-GN
G1G01-103-MONOMER	hypothetical protein	G1G01-103	CCI-CYTOSOL-GN
G1G01-4675-MONOMER	flagellar brake protein YcgR	G1G01-4675	CCI-CYTOSOL-GN // CCO-CELL-PROJECTION
G1G01-2936-MONOMER	SfnB family sulfur acquisition oxidoreductase	G1G01-2936	CCI-CYTOSOL-GN
G1G01-4631-MONOMER	flagellin export apparatus substrate specificity protein	G1G01-4631	CCI-PM-BAC-NEG-GN
G1G01-2965-MONOMER	hypothetical protein	G1G01-2965	
G1G01-5033-MONOMER	tRNA pseudouridine(55) synthase TruB	G1G01-5033	
G1G01-1579-MONOMER	methyl-accepting chemotaxis transducer	G1G01-1579	CCI-PM-BAC-NEG-GN
G1G01-1716-MONOMER	tRNA pseudouridine(13) synthase TruD	G1G01-1716	CCI-CYTOSOL-GN
G1G01-5377-MONOMER	histidine ammonia-lyase	G1G01-5377	CCI-CYTOSOL-GN
G1G01-364-MONOMER	hypothetical protein	G1G01-364	CCI-CYTOSOL-GN
G1G01-5716-MONOMER	hypothetical protein	G1G01-5716	CCI-CYTOSOL-GN
G1G01-3976-MONOMER	2-ketoarginine decarboxylase AruI	G1G01-3976	
G1G01-856-MONOMER	hypothetical protein	G1G01-856	
G1G01-2265-MONOMER	glycosyl transferase	G1G01-2265	CCI-CYTOSOL-GN
G1G01-1596-MONOMER	phosphoenolpyruvate carboxylase	G1G01-1596	CCI-CYTOSOL-GN
G1G01-459-MONOMER	hypothetical protein	G1G01-459	CCI-CYTOSOL-GN
G1G01-1015-MONOMER	ribosome associated protein	G1G01-1015	CCI-CYTOSOL-GN
G1G01-1361-MONOMER	short-chain dehydrogenase/reductase family oxidoreductase	G1G01-1361	CCI-CYTOSOL-GN
G1G01-2950-MONOMER	hypothetical protein	G1G01-2950	
G1G01-5018-MONOMER	poly(A) polymerase	G1G01-5018	CCI-CYTOSOL-GN
G1G01-3287-MONOMER	hypothetical protein	G1G01-3287	
G1G01-1700-MONOMER	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	G1G01-1700	CCI-CYTOSOL-GN
G1G01-5361-MONOMER	twin arginine protein export complex subunit	G1G01-5361	CCI-PM-BAC-NEG-GN
G1G01-3624-MONOMER	CAIB/BAIF family protein	G1G01-3624	CCI-CYTOSOL-GN
G1G01-1896-MONOMER	group 2 family glycosyl transferase	G1G01-1896	CCI-PM-BAC-NEG-GN
G1G01-3961-MONOMER	hypothetical protein	G1G01-3961	
G1G01-841-MONOMER	hypothetical protein	G1G01-841	CCI-OUTER-MEM-GN
G1G01-225-MONOMER	oxidoreductase	G1G01-225	CCI-PM-BAC-NEG-GN
G1G01-4301-MONOMER	bifunctional D-hydantoinase/dihydropyrimidinase	G1G01-4301	CCI-CYTOSOL-GN
G1G01-2595-MONOMER	AraC family transcriptional regulator	G1G01-2595	CCI-CYTOSOL-GN
G1G01-1000-MONOMER	membrane protein	G1G01-1000	CCI-PM-BAC-NEG-GN
G1G01-4646-MONOMER	flagellar motor switch protein	G1G01-4646	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN // CCO-CELL-PROJECTION
G1G01-2907-MONOMER	membrane protein	G1G01-2907	CCI-PM-BAC-NEG-GN
G1G01-5644-MONOMER	deoxyuridine 5'-triphosphate nucleotidohydrolase	G1G01-5644	CCI-CYTOSOL-GN
G1G01-5659-MONOMER	bifunctional (p)ppGpp synthase/hydrolase	G1G01-5659	CCI-CYTOSOL-GN
G1G01-3271-MONOMER	ABC transporter substrate-binding protein	G1G01-3271	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-1684-MONOMER	N-succinyl-L,L-diaminopimelate aminotransferase	G1G01-1684	CCI-CYTOSOL-GN
G1G01-5347-MONOMER	hypothetical protein	G1G01-5347	
G1G01-361-MONOMER	formaldehyde dehydrogenase 1 monomer	G1G01-361	CCI-CYTOSOL-GN
G1G01-5688-MONOMER	hypothetical protein	G1G01-5688	CCI-CYTOSOL-GN
G1G01-3947-MONOMER	hypothetical protein	G1G01-3947	CCI-CYTOSOL-GN
G1G01-826-MONOMER	malate:quinone oxidoreductase	G1G01-826	CCI-CYTOSOL-GN
G1G01-2234-MONOMER	ribosome modulation factor	G1G01-2234	CCI-CYTOSOL-GN
G1G01-4287-MONOMER	oxidoreductase	G1G01-4287	CCI-CYTOSOL-GN
G1G01-1330-MONOMER	hypothetical protein	G1G01-1330	
G1G01-2581-MONOMER	cobalamin ABC transporter substrate-binding protein	G1G01-2581	
G1G01-5673-MONOMER	chorismate pyruvate-lyase	G1G01-5673	CCI-CYTOSOL-GN
G1G01-2921-MONOMER	MerR family transcriptional regulator	G1G01-2921	CCI-CYTOSOL-GN
G1G01-3521-MONOMER	metallo-beta-lactamase family protein	G1G01-3521	CCI-CYTOSOL-GN
G1G01-4984-MONOMER	hypothetical protein	G1G01-4984	CCI-PERI-BAC-GN
G1G01-3256-MONOMER	lytic enzyme	G1G01-3256	
G1G01-1669-MONOMER	hypothetical protein	G1G01-1669	
G1G01-4910-MONOMER	AraC family transcriptional regulator	G1G01-4910	CCI-CYTOSOL-GN
G1G01-5332-MONOMER	putative Chemotaxis protein	G1G01-5332	
G1G01-4940-MONOMER	sensory box protein	G1G01-4940	CCI-CYTOSOL-GN
G1G01-3596-MONOMER	acetolactate synthase	G1G01-3596	CCI-CYTOSOL-GN
G1G01-3244-MONOMER	baseplate/tail fiber protein	G1G01-3244	CCI-CYTOSOL-GN
G1G01-3932-MONOMER	hypothetical protein	G1G01-3932	CCO-MEMBRANE
G1G01-3550-MONOMER	hypothetical protein	G1G01-3550	CCI-PM-BAC-NEG-GN
G1G01-2219-MONOMER	phosphoenolpyruvate synthase regulatory protein	G1G01-2219	CCI-CYTOSOL-GN
G1G01-722-MONOMER	hypothetical protein	G1G01-722	
G1G01-4272-MONOMER	leucyl/phenylalanyl-tRNA--protein transferase	G1G01-4272	CCI-CYTOSOL-GN
G1G01-4615-MONOMER	chemotaxis response regulator protein-glutamate methylesterase	G1G01-4615	CCI-CYTOSOL-GN
G1G01-2567-MONOMER	hypothetical protein	G1G01-2567	
G1G01-497-MONOMER	elongation factor G 1	G1G01-497	CCI-CYTOSOL-GN
G1G01-1654-MONOMER	hypothetical protein	G1G01-1654	
G1G01-5317-MONOMER	membrane protein	G1G01-5317	CCI-PM-BAC-NEG-GN
G1G01-5615-MONOMER	<small>L</small>-aminoadipate-semialdehyde dehydrogenase	G1G01-5615	CCI-CYTOSOL-GN
G1G01-3581-MONOMER	3-(3-hydroxy-phenyl)propionate transporter MhpT	G1G01-3581	CCI-PM-BAC-NEG-GN
G1G01-3917-MONOMER	hypothetical protein	G1G01-3917	
G1G01-798-MONOMER	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	G1G01-798	
G1G01-2204-MONOMER	GntR family transcriptional regulator	G1G01-2204	CCI-CYTOSOL-GN
G1G01-4258-MONOMER	FtsH-mediated proteolysis substrate/modulator	G1G01-4258	CCI-PM-BAC-NEG-GN
G1G01-3215-MONOMER	DNA cytosine methyltransferase family protein	G1G01-3215	CCI-CYTOSOL-GN
G1G01-13-MONOMER	DNA gyrase subunit B	G1G01-13	CCI-CYTOSOL-GN
G1G01-2551-MONOMER	LysE family transporter	G1G01-2551	CCI-PM-BAC-NEG-GN
G1G01-2893-MONOMER	hypothetical protein	G1G01-2893	
G1G01-4955-MONOMER	cyclic diguanosine monophosphate-binding protein	G1G01-4955	CCI-CYTOSOL-GN
G1G01-1639-MONOMER	LuxR family transcriptional regulator	G1G01-1639	CCO-MEMBRANE
G1G01-5302-MONOMER	metal-dependent hydrolase	G1G01-5302	CCI-CYTOSOL-GN
G1G01-323-MONOMER	phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase	G1G01-323	CCI-CYTOSOL-GN
G1G01-3566-MONOMER	TonB-dependent receptor protein	G1G01-3566	CCI-OUTER-MEM-GN
G1G01-782-MONOMER	betaine-aldehyde dehydrogenase	G1G01-782	CCI-CYTOSOL-GN
G1G01-3903-MONOMER	AraC family transcriptional regulator	G1G01-3903	CCI-CYTOSOL-GN
G1G01-2190-MONOMER	hypothetical protein	G1G01-2190	
G1G01-4241-MONOMER	isochorismatase family hydrolase	G1G01-4241	
G1G01-1281-MONOMER	toxin-antitoxin system HigB-like toxin	G1G01-1281	CCI-CYTOSOL-GN
G1G01-2537-MONOMER	hypothetical protein	G1G01-2537	CCI-PM-BAC-NEG-GN
G1G01-3860-MONOMER	2-deoxy-D-ribose dehydrogenase subunit beta	G1G01-3860	CCI-PM-BAC-NEG-GN
G1G01-4526-MONOMER	cbb3-1 cytochrome c oxidase subunit P	G1G01-4526	CCI-PM-BAC-NEG-GN
G1G01-2879-MONOMER	5-methyltetrahydropteroyltriglutamate- homocysteine methyltransferase	G1G01-2879	CCI-CYTOSOL-GN
G1G01-752-MONOMER	ATP-dependent protease-like protein	G1G01-752	CCI-CYTOSOL-GN
G1G01-1624-MONOMER	excisionase	G1G01-1624	
G1G01-5289-MONOMER	sodium/L-proline transporter	G1G01-5289	CCI-PM-BAC-NEG-GN
G1G01-2176-MONOMER	MFS transporter	G1G01-2176	CCI-PM-BAC-NEG-GN
G1G01-389-MONOMER	two-component system response regulator	G1G01-389	CCI-CYTOSOL-GN
G1G01-767-MONOMER	hypothetical protein	G1G01-767	CCI-CYTOSOL-GN
G1G01-4226-MONOMER	transporter	G1G01-4226	CCI-PM-BAC-NEG-GN
G1G01-1267-MONOMER	outer membrane protein H1	G1G01-1267	CCI-OUTER-MEM-GN
G1G01-2522-MONOMER	putative Type 1 pili subunit CsuA/B protein	G1G01-2522	CCI-EXTRACELLULAR-GN
G1G01-4575-MONOMER	hydroxypyruvate isomerase	G1G01-4575	CCI-CYTOSOL-GN
G1G01-2864-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-2864	CCI-PM-BAC-NEG-GN
G1G01-4925-MONOMER	membrane protein	G1G01-4925	CCI-PM-BAC-NEG-GN
G1G01-161-MONOMER	propionyl-CoA:succinate CoA transferase	G1G01-161	CCI-CYTOSOL-GN
G1G01-320-MONOMER	imidazoleglycerol-phosphate dehydratase	G1G01-320	CCI-CYTOSOL-GN
G1G01-3536-MONOMER	hypothetical protein	G1G01-3536	
G1G01-2160-MONOMER	rhs repeat-associated core domain-containing protein	G1G01-2160	
G1G01-4210-MONOMER	2,5-dihydroxypyridine 5,6-dioxygenase monomer	G1G01-4210	CCI-CYTOSOL-GN
G1G01-1251-MONOMER	TRAP dicarboxylate transporter subunit DctQ	G1G01-1251	CCI-PM-BAC-NEG-GN
G1G01-2507-MONOMER	hypothetical protein	G1G01-2507	
G1G01-4560-MONOMER	aquaporin Z	G1G01-4560	CCI-PM-BAC-NEG-GN
G1G01-2490-MONOMER	aminodeoxychorismate synthase/para-aminobenzoate synthase	G1G01-2490	CCI-CYTOSOL-GN
G1G01-5261-MONOMER	ADP-ribose/sugar pyrophosphatase	G1G01-5261	CCI-CYTOSOL-GN
G1G01-2146-MONOMER	inorganic polyphosphate/ATP-NAD kinase	G1G01-2146	CCI-CYTOSOL-GN
G1G01-3186-MONOMER	type II 3-dehydroquinate dehydratase	G1G01-3186	CCI-CYTOSOL-GN
G1G01-74-MONOMER	hypothetical protein	G1G01-74	
G1G01-4893-MONOMER	TrmH family RNA methyltransferase	G1G01-4893	
G1G01-1233-MONOMER	putative lipoprotein	G1G01-1233	
G1G01-737-MONOMER	glyceraldehyde-3-phosphate dehydrogenase	G1G01-737	CCI-CYTOSOL-GN
G1G01-4540-MONOMER	recombination protein RecR	G1G01-4540	CCI-CYTOSOL-GN
G1G01-2832-MONOMER	hydratase/decarboxylase	G1G01-2832	
G1G01-3169-MONOMER	hypothetical protein	G1G01-3169	
G1G01-5244-MONOMER	oligoribonuclease	G1G01-5244	CCI-CYTOSOL-GN
G1G01-3504-MONOMER	1,2-phenylacetyl-CoA epoxidase subunit D	G1G01-3504	
G1G01-5582-MONOMER	(S)-2-haloacid dehalogenase	G1G01-5582	CCI-CYTOSOL-GN
G1G01-3843-MONOMER	LysR family transcriptional regulator	G1G01-3843	CCI-CYTOSOL-GN
G1G01-2125-MONOMER	N-(5'-phosphoribosyl)anthranilate isomerase	G1G01-2125	CCI-CYTOSOL-GN
G1G01-1214-MONOMER	hypothetical protein	G1G01-1214	
G1G01-4878-MONOMER	hypothetical protein	G1G01-4878	CCI-PM-BAC-NEG-GN
G1G01-2818-MONOMER	cellulose synthase endo-1,4-D-glucanase subunit	G1G01-2818	CCI-EXTRACELLULAR-GN
G1G01-3153-MONOMER	sulfatase	G1G01-3153	CCI-PM-BAC-NEG-GN
G1G01-523-MONOMER	30S ribosomal protein S13	G1G01-523	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-3490-MONOMER	phospholipid modification enzyme	G1G01-3490	CCI-PM-BAC-NEG-GN
G1G01-5567-MONOMER	polyphosphate kinase	G1G01-5567	CCI-PM-BAC-NEG-GN
G1G01-3829-MONOMER	RpiR family transcriptional regulator	G1G01-3829	CCI-CYTOSOL-GN
G1G01-2110-MONOMER	hydrolase	G1G01-2110	
G1G01-2460-MONOMER	trigger factor	G1G01-2460	CCI-CYTOSOL-GN
G1G01-4511-MONOMER	McbC family microcin B17-like processing protein	G1G01-4511	
G1G01-2802-MONOMER	hypothetical protein	G1G01-2802	
G1G01-1202-MONOMER	membrane protein	G1G01-1202	CCI-PM-BAC-NEG-GN
G1G01-4863-MONOMER	hypothetical protein	G1G01-4863	
G1G01-155-MONOMER	hypothetical protein	G1G01-155	
G1G01-3137-MONOMER	ribosomal protein S6 modification protein-like protein	G1G01-3137	CCI-CYTOSOL-GN
G1G01-5210-MONOMER	azurin	G1G01-5210	CCI-PERI-BAC-GN
G1G01-3476-MONOMER	hypothetical protein	G1G01-3476	
G1G01-5551-MONOMER	5-formyltetrahydrofolate cyclo-ligase	G1G01-5551	CCI-CYTOSOL-GN
G1G01-3814-MONOMER	RNA polymerase ECF-17 &sigma; factor	G1G01-3814	CCI-CYTOSOL-GN
G1G01-209-MONOMER	transcriptional regulator AlgQ	G1G01-209	CCI-CYTOSOL-GN
G1G01-691-MONOMER	membrane protein	G1G01-691	CCO-MEMBRANE
G1G01-415-MONOMER	coenzyme PQQ synthesis protein A	G1G01-415	
G1G01-2445-MONOMER	tail fiber protein	G1G01-2445	CCI-EXTRACELLULAR-GN
G1G01-4498-MONOMER	hypothetical protein	G1G01-4498	
G1G01-2789-MONOMER	hypothetical protein	G1G01-2789	CCI-PM-BAC-NEG-GN
G1G01-1189-MONOMER	hypothetical protein	G1G01-1189	
G1G01-4849-MONOMER	peptidyl-prolyl cis-trans isomerase A	G1G01-4849	CCI-PERI-BAC-GN
